vl_site;vl_year;year;use;url;uid;title;author;anchor
"Haabneeme";"";"1688";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=29419";"";"";"";"";
"Haapsalu";"";"1683";"U";"http://www.ra.ee/kaardid/index.php/et/map/view?id=284103";"";"";"";"";
"Haapsalu";"1683";"1683";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=284103";"isbn=9789949512096;ra.ee=EAA.5393.1.3 leht 1,riksarkivet.se=SE/KrA/0406/28/015/001";"Deliniatio Geometrica Öfwer Slättef och Staden Hapsahl";"Samuel Waxelberg";"1683";
"Haapsalu";"1783";"1783";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=21086";"ra.ee=EAA.854.4.108";"Plan der Keyserl. Stadt Hapsal, so wie derselbe im May Monath 1783 aufgenommen worden";"Salomon Severin Dobermann";"1783";
"Haapsalu";"1800";"1798";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=16140";"ra.ee=EAA.854.4.107";"Stadtgrund von Hapsal";"Carl Friedrich Guthardt";"1798";
"Haapsalu";"1800";"1800";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=18249";"ra.ee=EAA.2072.2.33 leht 1";"Die Kreis Stadt Hapsal";"";"1800";
"Haapsalu";"1846";"1846";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=17542";"ra.ee=EAA.2072.2.34";"Генеральный план уезднаго города Гапсаля Эстл. губ.";"Поликарпь Юрьевичь";"1846";
"Haapsalu";"1846";"1848";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=18241";"ra.ee=EAA.2072.2.35";"Геометрический план уезднаго города Гапсаля Эстл. губ.";"Johann Heinrich Schmidt";"1848";
"Haapsalu";"1850";"1850";"P";"https://drive.google.com/file/d/1Y8xQN-MzV2uGpMADrlSCOnmUOYPv4WZY/view?usp=sharing";"";"Спецiальная карта окрестностей города Гапсаль";"Гидрограф. Департ.";"1850";
"Haapsalu";"1866";"1859";"P";"http://www.ra.ee/kaardid/index.php/et/map/view?id=16138";"ra.ee=EAA.854.4.106";"Karte von Hapsal";"";"1859";
